NL,SQL
display people ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
give me the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list people with credit_score greater than 754,SELECT * FROM loans WHERE credit_score > 754;
fetch the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
display clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me people ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
display customers with credit_score above 36465 and disbursement_amount under 630,SELECT * FROM loans WHERE credit_score > 36465 AND disbursement_amount < 630;
show the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the lowest disbursement_amount of all loans,SELECT MIN(disbursement_amount) FROM loans;
display borrowers where tenure_months over 34866 and disbursement_amount less than 338,SELECT * FROM loans WHERE tenure_months > 34866 AND disbursement_amount < 338;
display clients having credit_score more than 4325 and tenure_months below 412,SELECT * FROM loans WHERE credit_score > 4325 AND tenure_months < 412;
give me clients ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
list customers ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
display borrowers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
what is the average tenure_months of all loans,SELECT AVG(tenure_months) FROM loans;
show borrowers where disbursement_amount greater than 829,SELECT * FROM loans WHERE disbursement_amount > 829;
show clients having age more than 133,SELECT * FROM loans WHERE age > 133;
display customers where credit_score more than 13727 and tenure_months below 796,SELECT * FROM loans WHERE credit_score > 13727 AND tenure_months < 796;
show customers having tenure_months above 565,SELECT * FROM loans WHERE tenure_months > 565;
list borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show clients ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
give me clients having tenure_months more than 17751 and disbursement_amount under 515,SELECT * FROM loans WHERE tenure_months > 17751 AND disbursement_amount < 515;
fetch people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the minimum tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
fetch clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me customers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
fetch customers with credit_score above 14050 and tenure_months under 446,SELECT * FROM loans WHERE credit_score > 14050 AND tenure_months < 446;
fetch people ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
show people with disbursement_amount more than 42596 and tenure_months below 522,SELECT * FROM loans WHERE disbursement_amount > 42596 AND tenure_months < 522;
list the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the maximum tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
fetch clients with disbursement_amount above 48586 and tenure_months below 736,SELECT * FROM loans WHERE disbursement_amount > 48586 AND tenure_months < 736;
show people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me customers where credit_score more than 375,SELECT * FROM loans WHERE credit_score > 375;
show people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
what is the count credit_score of all loans,SELECT COUNT(credit_score) FROM loans;
show borrowers with tenure_months more than 3628 and credit_score under 315,SELECT * FROM loans WHERE tenure_months > 3628 AND credit_score < 315;
display borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me borrowers where disbursement_amount above 501,SELECT * FROM loans WHERE disbursement_amount > 501;
display people having disbursement_amount over 22,SELECT * FROM loans WHERE disbursement_amount > 22;
give me customers having credit_score over 685,SELECT * FROM loans WHERE credit_score > 685;
what is the max disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
what is the overall credit_score of all loans,SELECT SUM(credit_score) FROM loans;
show people with age over 394,SELECT * FROM loans WHERE age > 394;
fetch people ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
fetch the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
fetch customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
show people ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
fetch the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
fetch people having age more than 843,SELECT * FROM loans WHERE age > 843;
list the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
display the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
list people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show people having age above 445,SELECT * FROM loans WHERE age > 445;
fetch the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list people ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
list customers having tenure_months above 22904 and credit_score under 777,SELECT * FROM loans WHERE tenure_months > 22904 AND credit_score < 777;
give me the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show customers where disbursement_amount greater than 44863 and tenure_months below 437,SELECT * FROM loans WHERE disbursement_amount > 44863 AND tenure_months < 437;
what is the minimum tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
give me customers ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
give me customers with tenure_months greater than 48055 and credit_score under 782,SELECT * FROM loans WHERE tenure_months > 48055 AND credit_score < 782;
what is the maximum credit_score of all loans,SELECT MAX(credit_score) FROM loans;
fetch customers where age over 969,SELECT * FROM loans WHERE age > 969;
show customers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
what is the highest tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
list customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me clients with disbursement_amount over 7150 and credit_score less than 535,SELECT * FROM loans WHERE disbursement_amount > 7150 AND credit_score < 535;
display the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me borrowers where credit_score more than 28939 and disbursement_amount under 740,SELECT * FROM loans WHERE credit_score > 28939 AND disbursement_amount < 740;
what is the overall tenure_months of all loans,SELECT SUM(tenure_months) FROM loans;
display customers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
fetch the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
display borrowers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
give me borrowers with credit_score over 23828 and tenure_months under 427,SELECT * FROM loans WHERE credit_score > 23828 AND tenure_months < 427;
display the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
list borrowers with credit_score greater than 7701 and tenure_months less than 733,SELECT * FROM loans WHERE credit_score > 7701 AND tenure_months < 733;
display people with credit_score more than 506,SELECT * FROM loans WHERE credit_score > 506;
give me clients having tenure_months more than 165,SELECT * FROM loans WHERE tenure_months > 165;
display customers where credit_score more than 334,SELECT * FROM loans WHERE credit_score > 334;
show people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list people ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
give me people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display people ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
what is the lowest disbursement_amount of all loans,SELECT MIN(disbursement_amount) FROM loans;
what is the overall tenure_months of all loans,SELECT SUM(tenure_months) FROM loans;
